R_kpc,vc_kms,sigma_obs_kms,sigma_total_kms
6.23,227.56,1.77,13.73
6.79,227.74,3.05,14.25
7.21,231.82,1.53,14.48
7.75,231.14,2.68,14.91
8.22,237.28,1.66,15.44
8.89,241.44,1.06,16.11
9.31,240.33,1.09,16.34
9.73,238.46,1.22,16.53
10.29,237.9,1.32,16.94
10.77,236.31,1.44,17.24
11.24,234.92,1.37,17.54
11.78,234.51,1.36,18.0
12.24,233.8,1.32,18.39
12.75,231.21,1.24,18.69
13.26,229.88,1.15,19.11
13.76,227.32,1.16,19.45
14.24,224.91,1.15,19.8
14.72,223.29,1.19,20.24
15.21,220.41,1.29,20.6
15.66,221.13,1.33,21.27
16.33,218.37,1.61,21.96
16.78,217.71,1.59,22.55
17.25,217.99,1.97,23.34
17.74,214.01,2.49,23.75
18.23,216.89,1.88,24.87
18.67,212.7,1.99,25.17
19.16,210.39,2.19,25.82
19.7,209.15,2.54,26.74
20.32,203.71,2.52,27.31
20.74,199.96,2.54,27.69
21.21,205.05,3.24,29.52
21.83,197.98,4.79,30.16
23.36,191.53,5.37,33.1
24.68,186.64,6.29,36.22
