draw_id,draw_label,s_hmg,chi2_nu_cdm_einasto,chi2_nu_hmg_k1,ratio_hmg_einasto,winner,close_10pct
1,b1,1.9541,2.7860,3.0530,1.0958,CDM Einasto,yes
2,b2,1.9518,3.3295,3.2509,0.9764,HMG,yes
3,b3,2.3677,2.1283,2.4333,1.1433,CDM Einasto,no
4,b4,1.9706,3.2071,3.2476,1.0126,CDM Einasto,yes
5,b5,2.5195,3.1659,2.9587,0.9346,HMG,yes
6,b6,2.4868,2.3596,2.2017,0.9331,HMG,yes
7,b7,2.5650,2.2071,2.1904,0.9924,HMG,yes
8,b8,1.9173,2.4145,4.0390,1.6728,CDM Einasto,no
9,b9,2.5242,3.0297,2.5607,0.8452,HMG,yes
10,b10,2.2139,3.5722,3.2839,0.9193,HMG,yes
11,b11,1.8261,3.4631,3.8458,1.1105,CDM Einasto,no
12,b12,2.2551,4.8341,5.4596,1.1294,CDM Einasto,no
13,b13,1.8600,2.7241,4.4415,1.6304,CDM Einasto,no
14,b14,2.1471,2.2104,8.1177,3.6725,CDM Einasto,no
15,b15,1.9588,2.8299,3.1205,1.1027,CDM Einasto,no
16,b16,2.0294,2.8215,3.9366,1.3952,CDM Einasto,no
17,b17,2.2747,2.4879,2.5875,1.0400,CDM Einasto,yes
18,b18,2.0332,2.3275,3.9860,1.7126,CDM Einasto,no
19,b19,2.4283,2.1542,2.7110,1.2585,CDM Einasto,no
20,b20,2.1172,3.7567,4.1278,1.0988,CDM Einasto,yes
21,b21,1.9031,3.1035,3.2699,1.0536,CDM Einasto,yes
22,b22,1.9460,2.8458,4.0283,1.4155,CDM Einasto,no
23,b23,2.0564,2.3459,9.9240,4.2304,CDM Einasto,no
24,b24,2.2559,3.4206,2.6739,0.7817,HMG,yes
25,b25,2.4030,2.9306,3.2491,1.1087,CDM Einasto,no
26,b26,1.8502,2.8809,3.5216,1.2224,CDM Einasto,no
27,b27,2.2949,3.2603,3.9858,1.2225,CDM Einasto,no
28,b28,2.4686,3.1104,2.7570,0.8864,HMG,yes
29,b29,2.0250,2.1785,6.7249,3.0869,CDM Einasto,no
30,b30,1.9595,4.3118,3.1117,0.7217,HMG,yes
31,b31,2.2326,3.9512,3.0322,0.7674,HMG,yes
32,b32,2.0513,4.6930,4.9101,1.0463,CDM Einasto,yes
33,b33,2.6132,2.2473,2.2544,1.0032,CDM Einasto,yes
34,b34,2.5461,2.2035,2.2095,1.0027,CDM Einasto,yes
35,b35,2.1735,2.6753,2.9823,1.1148,CDM Einasto,no
36,b36,2.1749,2.9829,2.5962,0.8704,HMG,yes
37,b37,2.2650,2.1365,4.9827,2.3322,CDM Einasto,no
38,b38,2.2347,2.9200,3.3012,1.1305,CDM Einasto,no
39,b39,2.0835,3.2691,3.0262,0.9257,HMG,yes
40,b40,2.4300,2.6282,2.4881,0.9467,HMG,yes
41,b41,2.4990,2.6838,2.4031,0.8954,HMG,yes
42,b42,2.3234,2.7506,2.7939,1.0157,CDM Einasto,yes
43,b43,1.9778,2.4156,4.5286,1.8747,CDM Einasto,no
44,b44,2.1636,2.0344,5.3206,2.6153,CDM Einasto,no
45,b45,2.4547,2.1370,2.3149,1.0832,CDM Einasto,yes
46,b46,2.2209,2.9887,3.0052,1.0055,CDM Einasto,yes
47,b47,2.1799,4.8288,5.3727,1.1126,CDM Einasto,no
48,b48,2.4872,2.2861,2.7716,1.2124,CDM Einasto,no
49,b49,2.4015,2.9017,2.4616,0.8483,HMG,yes
50,b50,2.0858,2.7935,4.9350,1.7666,CDM Einasto,no
51,b51,2.3676,2.1226,3.5564,1.6755,CDM Einasto,no
52,b52,2.2363,2.1270,3.2585,1.5320,CDM Einasto,no
53,b53,1.8339,3.3142,3.8466,1.1606,CDM Einasto,no
54,b54,1.8217,3.5138,3.8164,1.0861,CDM Einasto,yes
55,b55,2.2337,3.4905,2.9318,0.8399,HMG,yes
56,b56,1.8360,2.9938,4.4061,1.4717,CDM Einasto,no
57,b57,2.1524,2.8309,3.1017,1.0957,CDM Einasto,yes
58,b58,2.0506,3.9026,3.0938,0.7928,HMG,yes
59,b59,2.2949,2.1892,5.1918,2.3716,CDM Einasto,no
60,b60,2.0349,2.1087,6.6923,3.1737,CDM Einasto,no
61,b61,1.9984,2.3437,3.8263,1.6326,CDM Einasto,no
62,b62,2.1013,2.1775,5.5476,2.5477,CDM Einasto,no
63,b63,2.0654,2.2806,5.1619,2.2634,CDM Einasto,no
64,b64,1.7953,3.2866,3.9469,1.2009,CDM Einasto,no
65,b65,1.8884,2.7876,3.3933,1.2173,CDM Einasto,no
66,b66,2.3063,3.7852,3.4863,0.9210,HMG,yes
67,b67,2.4478,2.3098,2.3929,1.0360,CDM Einasto,yes
68,b68,1.8737,2.7163,4.5217,1.6647,CDM Einasto,no
69,b69,2.5955,1.9678,2.2647,1.1509,CDM Einasto,no
70,b70,2.2335,2.3788,3.2128,1.3506,CDM Einasto,no
71,b71,2.0624,3.8422,3.6413,0.9477,HMG,yes
72,b72,2.0831,4.4424,3.4138,0.7685,HMG,yes
73,b73,1.9157,3.3720,3.9877,1.1826,CDM Einasto,no
74,b74,2.1028,2.2728,3.2292,1.4208,CDM Einasto,no
75,b75,2.3121,2.5850,2.4597,0.9515,HMG,yes
76,b76,2.5934,2.3810,2.3868,1.0024,CDM Einasto,yes
77,b77,2.5209,2.9742,3.0143,1.0135,CDM Einasto,yes
78,b78,2.5235,2.5197,2.4797,0.9841,HMG,yes
79,b79,2.1294,2.6426,3.3724,1.2762,CDM Einasto,no
80,b80,2.3101,2.1129,4.2620,2.0171,CDM Einasto,no
81,b81,1.9366,2.0223,7.5091,3.7131,CDM Einasto,no
82,b82,1.9292,2.5546,4.1669,1.6311,CDM Einasto,no
83,b83,1.8803,3.6513,3.2412,0.8877,HMG,yes
84,b84,2.0423,2.5335,3.0235,1.1934,CDM Einasto,no
85,b85,2.2141,2.3118,2.9621,1.2813,CDM Einasto,no
86,b86,2.0241,2.4751,4.7762,1.9297,CDM Einasto,no
87,b87,2.0310,4.0374,3.0509,0.7557,HMG,yes
88,b88,2.0470,2.7078,3.8772,1.4319,CDM Einasto,no
89,b89,2.5315,2.6358,2.7772,1.0536,CDM Einasto,yes
90,b90,1.9887,4.6143,4.3043,0.9328,HMG,yes
91,b91,2.0806,3.7273,3.0774,0.8256,HMG,yes
92,b92,2.1759,4.5212,3.5653,0.7886,HMG,yes
93,b93,2.1076,4.0134,4.1504,1.0341,CDM Einasto,yes
94,b94,2.1404,2.8505,3.3478,1.1745,CDM Einasto,no
95,b95,2.4118,2.0355,2.8793,1.4145,CDM Einasto,no
96,b96,2.4578,2.6561,2.4515,0.9230,HMG,yes
97,b97,2.2144,2.1515,4.8318,2.2458,CDM Einasto,no
98,b98,1.8913,3.1548,3.6214,1.1479,CDM Einasto,no
99,b99,1.9962,3.0703,4.0232,1.3104,CDM Einasto,no
100,b100,2.3704,2.1608,2.9209,1.3518,CDM Einasto,no
