draw_id,draw_label,alpha,mu
1,b1,2.0535176,0.32652838
2,b2,2.2438831,0.32041623
3,b3,1.8377004,0.37530484
4,b4,1.7477736,0.39405851
5,b5,2.1366261,0.2945423
6,b6,1.8535965,0.36007637
7,b7,1.7645389,0.42798687
8,b8,1.9480429,0.31507247
9,b9,2.1455853,0.28231058
10,b10,1.9636185,0.30853097
11,b11,1.9429267,0.3774547
12,b12,1.8985188,0.30950003
13,b13,1.9462966,0.33627018
14,b14,1.9074167,0.29158704
15,b15,1.8498762,0.30028218
16,b16,1.9019979,0.33288722
17,b17,1.8084555,0.30811873
18,b18,1.7701398,0.34285887
19,b19,1.7003504,0.31560674
20,b20,1.706349,0.34027269
21,b21,1.7660224,0.3338706
22,b22,1.8191544,0.30025681
23,b23,1.761307,0.28783952
24,b24,1.6885691,0.35345304
25,b25,1.9108143,0.28770947
26,b26,1.6010346,0.35159425
27,b27,1.7510186,0.29164178
28,b28,1.7550305,0.29905026
29,b29,1.5760636,0.32868967
30,b30,1.6005591,0.35889591
31,b31,1.568319,0.30979318
32,b32,1.6554974,0.28740439
33,b33,1.535693,0.30230009
34,b34,1.656828,0.32794157
35,b35,1.7420223,0.29804255
36,b36,1.7190463,0.26854856
37,b37,1.6594764,0.27239317
38,b38,1.6222451,0.2882976
39,b39,1.5765659,0.33720214
40,b40,1.4888814,0.30161893
41,b41,1.4838951,0.3054582
42,b42,1.4979629,0.31888216
43,b43,1.5459304,0.31412218
44,b44,1.3714115,0.35509342
45,b45,1.4464008,0.316247
46,b46,1.4641322,0.28587016
47,b47,1.4371206,0.28975859
48,b48,1.6025835,0.24013942
49,b49,1.5687241,0.23565431
50,b50,1.5037962,0.2990274
51,b51,1.4553525,0.25592871
52,b52,1.4003606,0.25460343
53,b53,1.4546555,0.27068233
54,b54,1.361917,0.26264482
55,b55,1.4339452,0.24091895
56,b56,1.3372466,0.29736672
57,b57,1.3176995,0.27040327
58,b58,1.4932834,0.25546573
59,b59,1.4649117,0.24977895
60,b60,1.329636,0.273106
61,b61,1.363982,0.28022636
62,b62,1.1857034,0.28681829
63,b63,1.2472357,0.26289702
64,b64,1.4159189,0.25152194
65,b65,1.3546373,0.23531224
66,b66,1.2862291,0.23013797
67,b67,1.3198538,0.26408425
68,b68,1.3211394,0.23888936
69,b69,1.2462463,0.23450476
70,b70,1.2200217,0.23828744
71,b71,1.2807153,0.25022082
72,b72,1.3085954,0.21425209
73,b73,1.2703041,0.22734115
74,b74,1.2418717,0.21660305
75,b75,1.196145,0.26561833
76,b76,1.2875147,0.21579769
77,b77,1.1744048,0.22006633
78,b78,1.1370891,0.26359364
79,b79,1.0899513,0.26832079
80,b80,1.2580328,0.23027305
81,b81,1.2101527,0.22488697
82,b82,1.1788769,0.24115957
83,b83,1.1933781,0.24218751
84,b84,1.2029848,0.25286021
85,b85,1.2506087,0.19205061
86,b86,1.2192057,0.2053218
87,b87,1.1363163,0.2622877
88,b88,1.0840971,0.21751331
89,b89,1.2171333,0.22361077
90,b90,1.1941044,0.22004171
91,b91,1.1679076,0.22499731
92,b92,1.0513643,0.23587715
93,b93,1.0961952,0.24064391
94,b94,1.0873342,0.231316
95,b95,1.1767571,0.21187715
96,b96,1.2002675,0.22462916
97,b97,1.1017286,0.21037016
98,b98,1.1311938,0.224956
99,b99,1.0522575,0.21937768
100,b100,1.0652618,0.21819642
