draw_id,draw_label,log_rho,log_rs
1,b1,-0.37921271,0.93860599
2,b2,-0.36235751,0.94922787
3,b3,-0.38946832,0.90465294
4,b4,-0.39844153,0.87922369
5,b5,-0.37601925,0.98792126
6,b6,-0.3901673,0.91395036
7,b7,-0.39564678,0.84643883
8,b8,-0.38520721,0.97631256
9,b9,-0.3746738,1.0237216
10,b10,-0.38613537,0.97749447
11,b11,-0.38275479,0.88130028
12,b12,-0.38736389,1.0037953
13,b13,-0.38068273,0.96241028
14,b14,-0.38849997,1.0338608
15,b15,-0.39142125,1.0277356
16,b16,-0.3853154,0.961079
17,b17,-0.39407758,1.019708
18,b18,-0.39628489,0.95932688
19,b19,-0.40350161,1.0125499
20,b20,-0.40063186,0.97714241
21,b21,-0.39497403,0.99054718
22,b22,-0.39391724,1.0308072
23,b23,-0.40083003,1.0559564
24,b24,-0.40191459,0.95560228
25,b25,-0.38643478,1.0558136
26,b26,-0.40939825,0.97727409
27,b27,-0.40099708,1.0549614
28,b28,-0.39953009,1.0433726
29,b29,-0.41373685,1.0102511
30,b30,-0.40832364,0.97180569
31,b31,-0.41656633,1.039442
32,b32,-0.41044151,1.0730346
33,b33,-0.42024711,1.0603464
34,b34,-0.4055362,1.0081636
35,b35,-0.4002667,1.0504469
36,b36,-0.40631434,1.1163237
37,b37,-0.41129704,1.1100936
38,b38,-0.41313794,1.0826631
39,b39,-0.41278772,1.0029078
40,b40,-0.42561869,1.0682693
41,b41,-0.42578732,1.0644915
42,b42,-0.42270555,1.037907
43,b43,-0.41757948,1.0443404
44,b44,-0.433567,1.0031128
45,b45,-0.42847652,1.0543234
46,b46,-0.43033495,1.1087507
47,b47,-0.43268137,1.1052523
48,b48,-0.42398356,1.2126127
49,b49,-0.42940828,1.2254292
50,b50,-0.42419837,1.0783404
51,b51,-0.43732504,1.1735686
52,b52,-0.44440206,1.190529
53,b53,-0.43444179,1.1492947
54,b54,-0.44795611,1.1762209
55,b55,-0.44330778,1.2316005
56,b56,-0.44437299,1.1048891
57,b57,-0.45097013,1.1664636
58,b58,-0.43183958,1.1890867
59,b59,-0.43704971,1.2046462
60,b60,-0.44861774,1.1558756
61,b61,-0.44379623,1.1373031
62,b62,-0.46773567,1.145041
63,b63,-0.46346308,1.202542
64,b64,-0.44255402,1.214464
65,b65,-0.45494822,1.274255
66,b66,-0.4671983,1.3095288
67,b67,-0.45207822,1.1852385
68,b68,-0.46005259,1.2688549
69,b69,-0.47270055,1.3020096
70,b70,-0.47377763,1.2906766
71,b71,-0.46135123,1.2331111
72,b72,-0.47107833,1.3786049
73,b73,-0.47134868,1.3235511
74,b74,-0.47828333,1.3888907
75,b75,-0.47079704,1.2055655
76,b76,-0.4710623,1.3821114
77,b77,-0.48885242,1.3891502
78,b78,-0.48087984,1.2212297
79,b79,-0.48746449,1.2167423
80,b80,-0.47021935,1.3158182
81,b81,-0.48057379,1.3538903
82,b82,-0.47904223,1.2906327
83,b83,-0.47676023,1.2802376
84,b84,-0.4717797,1.2456818
85,b85,-0.49339099,1.5480827
86,b86,-0.49008957,1.458148
87,b87,-0.48035393,1.2285846
88,b88,-0.50847403,1.4236276
89,b89,-0.47950542,1.347952
90,b90,-0.48517246,1.3839949
91,b91,-0.4886297,1.3651151
92,b92,-0.50885572,1.3301865
93,b93,-0.49253522,1.2916083
94,b94,-0.50058459,1.3546268
95,b95,-0.49315877,1.4503767
96,b96,-0.48264823,1.3580095
97,b97,-0.51617902,1.5414708
98,b98,-0.49542908,1.3725619
99,b99,-0.51801527,1.4312312
100,b100,-0.51528054,1.4369067
